,mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
3300,gdb_3301,C#CC1OC2CC12,6.21661,2.17813,1.95052,1.7893,59.01,-0.24,0.0194,0.2595,670.2103,0.100897,-307.229313,-307.22321,-307.222265,-307.259085,23.254,-1306.764902176,-1314.490165475,-1321.601724972,-1221.1883623011
3318,gdb_3319,CCC1OC2CC12,6.19942,1.8862,1.72927,1.5634,63.72,-0.232,0.0879,0.3199,790.315,0.148256,-309.678068,-309.671194,-309.67025,-309.708832,25.961,-1587.677463643,-1598.4731284791,-1607.957299505,-1475.981489152
3323,gdb_3324,OCC1CC2CC12,6.01715,1.82011,1.64299,1.1774,63.61,-0.2509,0.0791,0.33,796.4095,0.149039,-309.679242,-309.67232,-309.671376,-309.710085,26.134,-1588.414159209,-1599.179703613,-1608.663874639,-1476.767757929
3330,gdb_3331,C1C2CN=COC12,4.4157,3.42768,2.261,2.0687,56.89,-0.2448,0.0288,0.2736,595.9176,0.116021,-324.569596,-324.564018,-324.563074,-324.598961,21.319,-1371.348755965,-1380.291386724,-1387.996569735,-1278.523232122
3346,gdb_3347,C1CC2=CCCC12,5.32607,2.62655,1.94183,0.3901,70.63,-0.2207,0.0257,0.2464,697.5146,0.150774,-272.569586,-272.563644,-272.5627,-272.599063,23.76,-1656.279885068,-1667.6610158011,-1677.145186827,-1544.032330166
3351,gdb_3352,C1CC2N=COC12,5.05043,3.20186,2.36738,1.6316,56.24,-0.2434,0.0202,0.2636,582.7238,0.116148,-324.579188,-324.573788,-324.572844,-324.60855,20.542,-1377.367822293,-1386.422149654,-1394.127332665,-1284.540415923
3363,gdb_3364,OC1C2CC=CC12,4.23863,2.79559,2.685,1.5547,60.78,-0.2241,0.0105,0.2346,605.008,0.126718,-308.507517,-308.501684,-308.500739,-308.536745,23.375,-1480.997796098,-1490.669592315,-1498.967143822,-1381.708929555
3375,gdb_3376,C#CC1C2CCN12,5.32122,2.36423,2.15737,1.5269,62.8,-0.2312,0.0307,0.2619,652.2278,0.113723,-287.354343,-287.348169,-287.347224,-287.384054,23.755,-1372.951413951,-1381.520676855,-1389.225232357,-1280.599031894
3387,gdb_3388,COC1C2COC12,5.30428,2.28539,2.12228,1.4173,56.78,-0.2275,0.0698,0.2973,676.1909,0.124741,-345.586124,-345.579509,-345.578564,-345.616802,23.928,-1393.648543298,-1402.828999968,-1411.126551475,-1295.013541133
3390,gdb_3391,OCC1C2COC12,5.58865,1.95061,1.85729,2.032,56.23,-0.2407,0.0659,0.3067,726.0892,0.125458,-345.594203,-345.587602,-345.586658,-345.625074,24.295,-1398.718188509,-1407.9074303051,-1416.205609321,-1300.204295581
3405,gdb_3406,CC1C2OC(C)C12,3.93275,2.6373,2.15025,1.5429,63.78,-0.2311,0.0902,0.3213,702.2989,0.148111,-309.678404,-309.67146,-309.670516,-309.708814,26.542,-1587.888306667,-1598.6400458731,-1608.124216899,-1475.97019399
3411,gdb_3412,O=C1C=CC2CN12,5.00955,3.2583,2.21992,4.3637,55.87,-0.2529,-0.055,0.1979,574.2908,0.091937,-323.381747,-323.37655,-323.375606,-323.410567,19.947,-1253.8144377381,-1261.219043938,-1267.738234939,-1174.017883262
3429,gdb_3430,O=C1OCC2CN12,4.93307,3.20493,2.22554,4.9285,49.68,-0.2778,0.0127,0.2905,575.5021,0.092135,-360.525379,-360.520058,-360.519113,-360.55451,19.713,-1207.268957663,-1214.595125238,-1221.11368873,-1127.411534814
3430,gdb_3431,O=C1OCC2NC12,5.06575,2.99991,2.14371,5.1179,49.93,-0.2532,-0.0006,0.2526,588.9499,0.092355,-360.521191,-360.515868,-360.514924,-360.550287,19.964,-1204.640949971,-1211.965862528,-1218.485053529,-1124.761564307
3443,gdb_3444,CC1CCC2OC12,4.42189,2.70728,2.02436,1.8105,62.96,-0.2549,0.0908,0.3457,695.0225,0.14981,-309.721434,-309.715012,-309.714068,-309.75144,24.921,-1614.890018937,-1625.9693178411,-1635.453488867,-1502.718392624
3450,gdb_3451,OC1CCC2OC12,4.4899,2.79691,2.0763,1.8615,55.42,-0.2519,0.0776,0.3295,646.9868,0.126566,-345.645053,-345.638971,-345.638027,-345.674853,23.501,-1430.6270211591,-1440.1419401261,-1448.440119142,-1331.441066092
3468,gdb_3469,CC1C2CCC1O2,4.08254,2.81648,2.5591,1.7666,62.71,-0.2413,0.0888,0.3301,644.2272,0.150568,-309.70215,-309.696139,-309.695195,-309.731589,24.094,-1602.7891353811,-1614.1263404841,-1623.61051151,-1490.261711465
3478,gdb_3479,CC12C3C4C(C13)N24,5.87921,2.98078,2.80411,1.7976,59.57,-0.2115,0.0705,0.282,560.4801,0.113453,-287.318584,-287.31306,-287.312116,-287.347423,21.871,-1350.51231962,-1359.4894633741,-1367.194646385,-1257.612749715
3480,gdb_3481,CC12C3C4C3C1C24,5.85265,2.84706,2.68836,0.2077,63.53,-0.2171,0.0878,0.3049,587.1699,0.125013,-271.272557,-271.266916,-271.265972,-271.301452,22.831,-1470.234134221,-1480.027039675,-1488.325218691,-1370.992330853
3498,gdb_3499,N#CC1C2CC1O2,7.42468,2.04823,1.93847,2.2163,54.54,-0.2667,0.0094,0.2761,649.7046,0.090789,-323.312767,-323.307253,-323.306309,-323.34206,20.65,-1210.528866918,-1217.734552765,-1224.253743766,-1131.029124199
3507,gdb_3508,COC1C2CC1O2,6.54216,1.94945,1.88338,1.818,57.56,-0.2378,0.0752,0.313,724.1778,0.124571,-345.565792,-345.559358,-345.558414,-345.59629,23.673,-1380.89003031,-1390.184066109,-1398.482245125,-1282.142076525
3518,gdb_3519,C1OC1C1CCO1,5.69428,2.13848,2.01571,1.5957,56.51,-0.2473,0.074,0.3213,691.9407,0.125476,-345.606551,-345.600052,-345.599108,-345.637528,23.154,-1406.4666696411,-1415.719917355,-1424.018096371,-1308.019292667
3522,gdb_3523,C1NC11C2CC1O2,5.91977,2.56829,2.27334,2.6564,57.9,-0.2372,0.0778,0.315,615.0009,0.114122,-324.461004,-324.455481,-324.454537,-324.490018,21.923,-1303.206298637,-1312.183442391,-1319.888625402,-1210.160519135
3534,gdb_3535,OC1C2C3OC2C13,7.49992,2.34074,2.29136,2.5231,52.81,-0.2311,0.0692,0.3003,594.1782,0.101773,-344.345376,-344.339986,-344.339042,-344.374266,21.199,-1242.91962648,-1251.0916761871,-1258.203863193,-1156.533599995
3545,gdb_3546,O=C1C2C3CN1C23,5.92176,3.06773,2.63602,4.1984,53.22,-0.2466,-0.0013,0.2453,533.2622,0.091447,-323.320332,-323.315355,-323.314411,-323.348923,19.342,-1215.275972503,-1222.818630683,-1229.337821684,-1135.335718466
3551,gdb_3552,CC1C2C3CN1C23,5.06664,2.91608,2.59939,1.5946,63.17,-0.2211,0.0927,0.3138,606.5433,0.138405,-288.561991,-288.55626,-288.555315,-288.591099,23.076,-1502.909782869,-1513.5341377481,-1522.42468526,-1396.808051113
3560,gdb_3561,C1C2C1C1CC2O1,5.35206,3.06021,3.02329,1.7229,59.21,-0.2503,0.0888,0.3391,550.929,0.127823,-308.467331,-308.462465,-308.461521,-308.495555,20.721,-1455.780719424,-1466.0593168441,-1474.35749586,-1355.8618338451
3570,gdb_3571,C1OC2C3OC3C12,5.46676,3.07046,2.84264,2.8075,52.09,-0.2451,0.0511,0.2962,534.309,0.10265,-344.369744,-344.364725,-344.363781,-344.398293,19.836,-1258.2107657921,-1266.615621338,-1273.727808344,-1171.610758738
3587,gdb_3588,C1C2NC2C2NC12,4.8259,3.20972,2.52976,2.5578,59.65,-0.2224,0.0672,0.2895,582.766,0.128436,-304.643392,-304.638143,-304.637199,-304.672049,21.623,-1405.385471634,-1415.423105598,-1423.721284614,-1305.378107286
3590,gdb_3591,C1C2OC3CC3C12,4.95692,3.1648,2.57216,1.4066,58.88,-0.2316,0.0819,0.3135,581.0011,0.126954,-308.478846,-308.473549,-308.472605,-308.507511,21.918,-1463.006485559,-1473.0146266,-1481.312805616,-1363.364331449
3608,gdb_3609,C1C2CC3OC1C23,4.12041,4.09885,2.93987,1.7578,59.35,-0.2354,0.0773,0.3127,542.4212,0.127448,-308.465534,-308.460588,-308.459644,-308.493864,20.549,-1454.653085751,-1464.881482451,-1473.179661467,-1354.800716126
3615,gdb_3616,C1C2C3COC1C23,4.56679,3.63782,2.8765,1.6076,58.95,-0.2366,0.0927,0.3293,548.3764,0.128024,-308.486338,-308.481329,-308.480385,-308.514774,20.641,-1467.707782987,-1477.8966466201,-1486.194825636,-1367.921929316
3628,gdb_3629,C1C2C3C2C2C3N12,4.62883,4.40183,3.38226,1.5918,58.27,-0.2245,0.0769,0.3013,491.3825,0.116509,-287.377993,-287.373525,-287.372581,-287.405796,19.106,-1387.792001801,-1397.431795059,-1405.13697807,-1294.2423325721
3638,gdb_3639,C#Cc1conn1,9.7748,1.98615,1.65074,3.3419,53.58,-0.2604,-0.0535,0.2069,666.3629,0.054277,-338.175569,-338.170014,-338.16907,-338.204838,20.031,-976.174335706,-980.688007943,-985.428210929,-916.40786851
3640,gdb_3641,C#Cc1cc[nH]n1,9.43113,1.98609,1.6406,2.7542,60.83,-0.2328,-0.0054,0.2274,695.3336,0.080184,-302.286171,-302.280451,-302.279507,-302.315481,21.442,-1181.911318973,-1188.0991852221,-1194.025380218,-1109.055641546
3658,gdb_3659,Cc1c(nno1)N,3.6429,3.53815,1.82407,3.9411,53.06,-0.2287,-0.0301,0.1986,652.8042,0.089955,-356.676972,-356.670229,-356.669285,-356.707806,23.379,-1141.519819661,-1147.953041929,-1154.47223293,-1062.3708544731
3662,gdb_3663,Cc1c(onn1)N,3.68833,3.50383,1.81962,5.0224,53.57,-0.2228,-0.0137,0.2091,652.8895,0.089469,-356.682218,-356.67537,-356.674426,-356.713365,24.094,-1144.811731875,-1151.179065698,-1157.698256699,-1065.859177004
3675,gdb_3676,Cc1cnnnn1,6.2664,2.73535,1.92692,5.0522,53.66,-0.2565,-0.0879,0.1686,617.7473,0.077777,-335.56643,-335.560367,-335.559423,-335.596868,20.659,-1060.225401202,-1066.196776846,-1072.122971842,-987.461340089
3687,gdb_3688,Cc1nc(no1)O,7.5822,2.18673,1.71534,3.3509,48.02,-0.262,-0.0173,0.2448,676.4096,0.078737,-376.587043,-376.580822,-376.579877,-376.617925,21.523,-1097.359501295,-1103.231730517,-1109.157298004,-1024.978220672
3695,gdb_3696,Cc1nc([nH]n1)N,7.23082,2.14807,1.6769,3.2121,55.71,-0.22,0.0354,0.2555,717.0252,0.104074,-336.853985,-336.847324,-336.846379,-336.884262,24.154,-1240.326131783,-1247.699362533,-1254.81092203,-1154.090079949
3707,gdb_3708,Cc1nc(on1)N,7.566,2.16842,1.70487,2.6757,52.25,-0.241,0.0111,0.2521,696.961,0.091162,-356.714706,-356.708346,-356.707402,-356.744664,23.105,-1165.198244267,-1171.871802482,-1178.390993483,-1085.499581195
3710,gdb_3711,Cc1c(non1)N,3.73315,3.46658,1.82171,4.6461,52.04,-0.2461,-0.025,0.2211,651.9948,0.090578,-356.663387,-356.656969,-356.656025,-356.693521,23.165,-1132.995109896,-1139.632272589,-1146.15146359,-1053.406888408
3720,gdb_3721,CCc1ncno1,7.18421,2.00323,1.72739,1.9727,54.73,-0.2855,-0.0226,0.2629,724.09,0.1029,-340.647224,-340.640879,-340.639935,-340.678449,21.87,-1271.456853273,-1279.029004376,-1286.141191382,-1186.175870137
3731,gdb_3732,CCn1cncn1,7.15367,2.02548,1.74801,3.2434,58.28,-0.2607,0.0109,0.2717,727.0316,0.11617,-320.786981,-320.780664,-320.77972,-320.817692,22.234,-1346.884690091,-1355.36296419,-1363.068147201,-1254.543603196
3747,gdb_3748,Cn1cnc(n1)N,7.26739,2.20846,1.71487,2.2355,56.3,-0.2089,0.0214,0.2303,703.3451,0.104548,-336.845442,-336.838983,-336.838039,-336.875644,23.247,-1234.965322396,-1242.465309964,-1249.57749697,-1148.682207387
3757,gdb_3758,Cn1c(ccn1)O,4.05076,3.42009,1.87653,2.7379,55.69,-0.2145,0.0402,0.2546,645.1519,0.103009,-340.65257,-340.645874,-340.64493,-340.6836,23.555,-1274.811516387,-1282.163411831,-1289.275598837,-1189.408168996
3764,gdb_3765,Cc1nnn(n1)C,7.49234,2.17377,1.72127,2.4901,56.13,-0.2756,-0.0171,0.2585,715.5256,0.102635,-336.816043,-336.809205,-336.808261,-336.84777,22.699,-1216.517185305,-1223.779346962,-1230.891533968,-1131.191021521
3775,gdb_3776,CN=c1[nH]nn[nH]1,8.10639,2.09056,1.67954,1.2641,53.72,-0.2152,-0.0187,0.1965,696.8808,0.090664,-352.83693,-352.830084,-352.829139,-352.867944,23.081,-1081.019794444,-1087.387755776,-1093.906319268,-1001.62359071
3784,gdb_3785,CNc1cnoc1,7.69837,1.94875,1.57531,4.071,55.77,-0.2106,-0.0024,0.2082,745.042,0.103085,-340.613243,-340.606938,-340.605994,-340.643505,22.754,-1250.133469944,-1257.730721407,-1264.842908413,-1164.248195641
3795,gdb_3796,CNc1nnon1,8.25739,2.07363,1.67828,3.9986,48.88,-0.2498,-0.0573,0.1925,688.0612,0.078692,-372.694726,-372.688469,-372.687525,-372.725085,21.33,-1004.056443103,-1009.905454492,-1015.831649488,-930.986785107
3809,gdb_3810,COc1ncon1,8.14385,2.19516,1.74822,0.391,47.64,-0.2679,-0.0206,0.2474,664.3404,0.079538,-376.562796,-376.556964,-376.55602,-376.59265,20.078,-1082.144290572,-1088.260620795,-1094.186815791,-1009.117930697
3817,gdb_3818,c1c(con1)C#N,9.60222,1.94542,1.61768,1.5744,50.85,-0.2906,-0.0569,0.2337,667.9519,0.056798,-338.238743,-338.233551,-338.232607,-338.267872,18.222,-1015.816589272,-1020.558047276,-1025.298250262,-955.962270816
3826,gdb_3827,C(#N)c1nnon1,10.19357,2.07678,1.72528,1.3668,43.86,-0.3473,-0.1177,0.2295,614.0591,0.031734,-370.291993,-370.286954,-370.28601,-370.320977,16.954,-752.023100834,-755.082207209,-758.636418185,-704.832541507
3835,gdb_3836,N=C1C=NON=N1,5.84091,2.97776,1.97227,1.2311,50.46,-0.2756,-0.101,0.1747,570.237,0.054258,-371.449232,-371.443711,-371.442767,-371.479141,19.364,-850.349368571,-854.883121096,-859.623324082,-790.368293297
3844,gdb_3845,N=C1NN=NC=N1,6.21933,2.97822,2.01386,0.1101,52.13,-0.2583,-0.0995,0.1588,571.9005,0.069525,-351.646368,-351.641162,-351.640218,-351.675535,18.7,-961.7830443,-967.403014904,-972.736213895,-894.598793215
3855,gdb_3856,c1(c(nn[nH]1)O)N,3.76089,3.57458,1.84744,3.3198,48.39,-0.2176,0.0039,0.2215,621.7331,0.080403,-372.742461,-372.736144,-372.7352,-372.772777,22.468,-1034.010585218,-1039.821946067,-1045.748141063,-960.913944335
3862,gdb_3863,c1c(onc1O)N,8.00909,2.08678,1.65781,2.8238,49.28,-0.2172,0.0235,0.2407,680.8995,0.079578,-376.570473,-376.564499,-376.563555,-376.599912,22.588,-1086.961677165,-1092.98890111,-1098.915096106,-1013.674901055
3871,gdb_3872,c1(nc(on1)N)N,7.66889,2.23711,1.7362,2.9304,48.65,-0.221,0.0237,0.2447,661.8571,0.08068,-372.766726,-372.760678,-372.759733,-372.796145,22.794,-1049.237091103,-1055.217251873,-1061.14281936,-975.577574647
3880,gdb_3881,c1c(n[nH]c1O)N,7.70286,2.05262,1.62457,2.5045,52.0,-0.1959,0.0546,0.2505,702.6858,0.092045,-356.709466,-356.702945,-356.702001,-356.739359,24.269,-1161.910097107,-1168.482626373,-1175.001817374,-1082.17064595
3891,gdb_3892,C(c1nnon1)N,7.44142,1.97006,1.72284,3.5811,48.06,-0.2633,-0.0685,0.1949,692.8011,0.079017,-372.686714,-372.680536,-372.679592,-372.717385,21.101,-999.028840995,-1004.927425595,-1010.853620591,-926.154965807
3903,gdb_3904,O=C1NN=NC=C1,6.11904,2.84995,1.94436,1.0953,51.07,-0.2632,-0.0857,0.1775,584.2627,0.069139,-355.497046,-355.491966,-355.491022,-355.525927,18.61,-1028.957255241,-1034.656919488,-1039.990118479,-961.9537267481
3912,gdb_3913,c1c(onn1)C=O,8.9816,2.08012,1.68896,3.4619,47.97,-0.2923,-0.1056,0.1867,645.3087,0.054751,-375.348487,-375.343035,-375.34209,-375.378044,18.459,-948.006084205,-952.58376236,-957.323337837,-888.164315929
3927,gdb_3928,c1nncn1C=O,8.67861,2.15306,1.72509,3.4428,49.35,-0.2798,-0.0717,0.2081,642.5149,0.068393,-355.518342,-355.512942,-355.511998,-355.54774,18.643,-1042.320686905,-1047.819548272,-1053.152747263,-975.641580565
3936,gdb_3937,c1([nH]nc(n1)O)O,7.53214,2.25159,1.73342,3.0837,43.47,-0.226,0.0354,0.2615,638.3797,0.068999,-392.662003,-392.656302,-392.655357,-392.691229,21.127,-995.793404591,-1001.10275824,-1006.435329722,-928.750343031
3942,gdb_3943,c1(=O)[nH]nc(o1)O,7.57669,2.34137,1.78864,3.6831,40.61,-0.2404,0.0261,0.2664,612.4799,0.056089,-412.548009,-412.542359,-412.541415,-412.577533,19.952,-936.53208214,-940.984886004,-945.72508899,-876.4135823951
3951,gdb_3952,c1c(nn[nH]1)CO,7.78453,1.97452,1.59065,3.3514,51.43,-0.2479,0.0036,0.2514,715.1474,0.091656,-356.683566,-356.677201,-356.676257,-356.714708,21.929,-1145.657614007,-1152.3280346771,-1158.847225678,-1066.701921591
3964,gdb_3965,c1coccc1=NO,5.29942,1.56486,1.20812,1.1191,67.42,-0.198,-0.0184,0.1797,912.1028,0.09696,-398.579695,-398.573169,-398.572225,-398.610316,24.876,-1337.504685559,-1344.963885042,-1352.075444539,-1249.455132715
3971,gdb_3972,CC(=NO)CC(=NO)C,3.51536,0.80412,0.74369,0.227,79.11,-0.2435,-0.0062,0.2373,1551.2606,0.155061,-456.274359,-456.263447,-456.262503,-456.31175,38.018,-1719.9325155011,-1729.970776974,-1740.6396849921,-1593.2685688331
3982,gdb_3983,CC(=NO)CCC#N,6.27445,0.83277,0.77594,4.0175,69.37,-0.2586,-0.006,0.2526,1396.4665,0.128485,-379.903682,-379.894511,-379.893567,-379.938544,31.433,-1528.195885533,-1536.6609819431,-1545.551529455,-1422.699072453
3995,gdb_3996,CC1(C(=NO)CO1)C,3.33117,1.51644,1.35869,1.0785,68.31,-0.2459,0.001,0.2469,986.2809,0.139181,-400.944193,-400.935445,-400.934501,-400.977158,31.893,-1565.5452212131,-1575.164306674,-1584.647850191,-1452.224625921
4003,gdb_4004,CCC(=NO)CC#C,3.08765,1.29082,1.04563,0.5502,73.16,-0.2489,0.0052,0.2541,1156.2593,0.139159,-363.793251,-363.783926,-363.782982,-363.827622,33.409,-1607.5036104981,-1616.7612507751,-1626.244794292,-1495.3213165321
4011,gdb_4012,CCC(=NO)COC,2.71087,1.42359,1.18505,0.7511,70.69,-0.2502,0.0026,0.2528,1111.3942,0.163061,-402.149144,-402.139363,-402.138419,-402.184274,34.114,-1693.8111983581,-1704.55917251,-1715.228708037,-1568.4781982791
4025,gdb_4026,CCC(=NO)C(=O)N,2.62891,1.75955,1.14087,3.2707,65.16,-0.2519,-0.038,0.2139,1032.5375,0.128956,-417.060638,-417.051394,-417.05045,-417.095408,32.426,-1490.011335374,-1498.429996118,-1507.32054363,-1384.2007677941
4037,gdb_4038,CC(=NO)C1(C)CN1,3.37028,1.48808,1.2536,1.2266,71.48,-0.2363,0.0028,0.2392,1030.5544,0.151866,-381.059702,-381.050648,-381.049703,-381.093421,33.05,-1625.757219799,-1636.07284025,-1646.148752263,-1506.17220216
4048,gdb_4049,CC1=CC(=NO)CN1,4.5488,1.3829,1.07704,2.8045,75.27,-0.1832,-0.0079,0.1752,1066.8758,0.13065,-379.900911,-379.892938,-379.891994,-379.933077,29.551,-1526.4570580941,-1535.6739102861,-1544.564457798,-1419.2684807501
4055,gdb_4056,CC1CCC(C1)=NO,5.30105,1.19361,1.01654,0.9579,75.11,-0.2366,0.0147,0.2513,1165.7622,0.165536,-365.049555,-365.041332,-365.040388,-365.082059,31.286,-1767.9940573201,-1779.7203180031,-1790.38985353,-1641.2692422791
4067,gdb_4068,COC1CC(C1)=NO,7.44678,0.97961,0.89822,1.3596,69.84,-0.2423,0.0063,0.2485,1260.0502,0.14004,-400.9337,-400.925175,-400.924231,-400.96708,30.669,-1558.9607692761,-1568.719789244,-1578.203332761,-1445.9005902191
4074,gdb_4075,ON=C1CC2(CO2)C1,6.53674,1.15675,1.06942,1.4141,65.76,-0.2493,-0.0037,0.2455,1070.6616,0.116976,-399.718923,-399.711438,-399.710494,-399.750969,27.985,-1424.528888697,-1433.163412537,-1441.460964044,-1324.002574406
4088,gdb_4089,C1=CNC(=O)C1=NO,3.68708,1.91264,1.25936,3.4969,63.58,-0.2195,-0.0705,0.149,869.5655,0.084545,-414.656994,-414.650203,-414.649259,-414.687983,25.155,-1237.406332406,-1243.810061751,-1250.328625243,-1155.965076841
4095,gdb_4096,C1C(=NO)C(=NO)CN1,1.90067,1.75757,0.9366,0.8947,74.18,-0.2308,-0.0469,0.1839,1186.2867,0.124727,-471.111166,-471.102776,-471.101832,-471.144307,31.337,-1469.2658878341,-1478.2204412641,-1487.110361267,-1359.6833636551
4105,gdb_4106,ON=C1C=CCC1O,3.36099,1.80802,1.24684,1.0771,68.56,-0.2288,-0.0349,0.194,935.1055,0.11893,-399.768959,-399.761388,-399.760444,-399.801327,28.038,-1455.926929021,-1464.507487087,-1472.805038594,-1355.602672628
4111,gdb_4112,CC1C(O)CC1=NO,3.87215,1.36681,1.10525,0.8625,68.35,-0.2452,0.0022,0.2475,1066.4433,0.14023,-400.94407,-400.935451,-400.934507,-400.977141,31.743,-1565.4680376061,-1575.168071728,-1584.651615245,-1452.2139582681
4121,gdb_4122,CC12CC1CC2=NO,3.65889,1.65619,1.29229,1.1696,73.11,-0.2272,0.0191,0.2463,968.3299,0.141188,-363.797894,-363.789997,-363.789053,-363.829814,30.015,-1610.4171347851,-1620.5708579141,-1630.054401431,-1496.6968162601
4130,gdb_4131,CC1CC1C(C)=NO,3.24448,1.47986,1.10408,0.533,75.22,-0.2338,0.0151,0.249,1111.5379,0.16318,-365.015586,-365.006211,-365.005266,-365.050654,33.64,-1746.6782040991,-1757.6815744141,-1768.350482432,-1621.5623221341
4147,gdb_4148,ON=C1CCC1C#C,3.32006,1.53024,1.11568,0.9885,71.35,-0.2476,0.0006,0.2482,1034.6524,0.116847,-362.572085,-362.564007,-362.563063,-362.604856,29.646,-1469.062574918,-1477.32561343,-1485.623164937,-1369.247228324
4150,gdb_4151,ON=C1CNC1C#N,3.46957,1.53059,1.12851,4.7936,62.66,-0.2602,-0.0234,0.2369,988.0729,0.095305,-394.711391,-394.703873,-394.702929,-394.743598,26.746,-1259.270000984,-1266.10608403,-1273.217643527,-1171.855487248
4168,gdb_4169,C1CC1C(=NO)CO,3.42444,1.43046,1.14733,1.3936,67.74,-0.2454,-0.0033,0.2421,1062.6336,0.141212,-400.935647,-400.92716,-400.926216,-400.969061,31.131,-1560.182529299,-1569.9653946091,-1579.448938126,-1447.1436855481
4171,gdb_4172,ON=C1CCC11CO1,3.72127,1.61761,1.23969,1.8637,66.41,-0.2466,-0.0142,0.2324,957.3509,0.117412,-399.718548,-399.711023,-399.710079,-399.750613,27.799,-1424.293572822,-1432.9029963021,-1441.200547809,-1323.779181202
4186,gdb_4187,CC1C2N1CC2=NO,4.32119,1.42625,1.36163,1.1958,69.39,-0.2278,0.0013,0.2291,957.7303,0.129956,-379.828433,-379.820845,-379.819901,-379.860187,28.636,-1480.9764607921,-1490.4349039491,-1499.325451461,-1373.52934974
4197,gdb_4198,ON=C1C2NC1C=C2,4.43355,1.68757,1.64495,1.875,65.59,-0.2271,-0.0092,0.2179,817.2056,0.10828,-378.610885,-378.604482,-378.603538,-378.641314,25.141,-1344.805752774,-1353.2306886081,-1360.93524411,-1249.898154069
4209,gdb_4210,c1cc(cnc1)F,5.86549,2.64196,1.82151,1.9081,54.15,-0.259,-0.0328,0.2262,619.2353,0.080595,-347.456674,-347.451683,-347.450738,-347.48542,18.976,-1204.271974679,-1210.917294989,-1216.842862476,-1131.201689174
4210,gdb_4211,c1cnc(cn1)F,6.0816,2.76907,1.90272,1.2151,50.27,-0.268,-0.0598,0.2082,587.5551,0.068827,-363.508158,-363.503312,-363.502368,-363.53684,17.906,-1087.974476691,-1093.821605553,-1099.154804544,-1021.241404577
4227,gdb_4228,CCCC(F)(F)F,4.90629,1.44595,1.42647,2.1377,46.73,-0.3446,0.086,0.4306,885.3722,0.109275,-456.103432,-456.095918,-456.094973,-456.135756,26.166,-1291.5660066871,-1299.293152513,-1306.9977080151,-1200.6550128031
4230,gdb_4231,CC(=O)C(F)(F)F,3.64884,2.45489,2.00597,2.3939,36.9,-0.28,-0.0521,0.2279,639.062,0.06114,-490.834069,-490.827048,-490.826104,-490.866146,23.371,-986.547686985,-991.029356263,-996.362555254,-921.96759825
4243,gdb_4244,N=C1NC(=O)NC=N1,4.07907,2.04033,1.36004,3.542,59.85,-0.2514,-0.0437,0.2077,814.952,0.087768,-410.919789,-410.913574,-410.91263,-410.950403,23.165,-1241.437450222,-1248.201997242,-1254.720560734,-1159.400688616
4255,gdb_4256,N=C1OC=NC(=O)O1,4.18955,2.1351,1.41432,4.821,51.61,-0.3044,-0.0812,0.2232,768.3713,0.061047,-450.642351,-450.636232,-450.635288,-450.673439,21.468,-1091.88448527,-1096.932167666,-1102.264739148,-1023.620291196
4260,gdb_4261,Cc1cc(=O)cc[nH]1,3.81938,1.8292,1.24647,6.7669,71.48,-0.2107,-0.0084,0.2022,931.799,0.120791,-362.730359,-362.723263,-362.722319,-362.761593,26.838,-1568.3809343841,-1577.260186734,-1585.557738241,-1467.601106457
4271,gdb_4272,c1c[nH]c(cc1=O)N,3.88552,1.86029,1.26096,6.9905,68.16,-0.2073,-0.0043,0.203,896.7107,0.110101,-378.780318,-378.773503,-378.772559,-378.811015,26.525,-1451.1264851711,-1459.292887297,-1466.997442799,-1356.387058878
4288,gdb_4289,c1c(=O)ncoc1O,4.27914,1.90801,1.31961,6.0524,55.21,-0.2522,-0.0427,0.2095,820.0286,0.072986,-434.586118,-434.579865,-434.578921,-434.616675,23.06,-1205.2019430171,-1211.05471946,-1216.980286947,-1130.227167697
4295,gdb_4296,c1nc(=O)nc(o1)O,4.23219,2.06323,1.38704,4.6263,50.15,-0.2731,-0.0562,0.2169,776.0371,0.061981,-450.653146,-450.647212,-450.646268,-450.68374,21.322,-1098.658444925,-1103.822216486,-1109.154787968,-1030.084261405
4305,gdb_4306,Cc1cc[nH]c(=O)n1,3.80393,1.96754,1.30728,5.6691,67.26,-0.2348,-0.0495,0.1853,886.5891,0.108944,-378.798097,-378.791181,-378.790237,-378.82949,25.489,-1462.282967682,-1470.385991399,-1478.090546901,-1367.980287653
4319,gdb_4320,c1coc(=O)nc1N,3.94735,2.04144,1.34556,7.0037,60.37,-0.2482,-0.0444,0.2037,826.7272,0.084898,-414.729823,-414.722901,-414.721956,-414.76131,24.965,-1283.107185367,-1289.428711033,-1295.946647016,-1201.978429284
4329,gdb_4330,OC1=NC(=N)OC=C1,3.95631,2.0406,1.34623,3.7566,61.1,-0.2335,-0.0517,0.1818,825.5774,0.085662,-414.701113,-414.694907,-414.693962,-414.731651,23.54,-1265.091401977,-1271.862224087,-1278.38016007,-1183.367139853
4337,gdb_4338,Cc1ccnc(c1)C,3.80438,1.76944,1.22604,2.187,78.29,-0.2446,-0.0153,0.2293,994.1025,0.143085,-326.803951,-326.796023,-326.795079,-326.837712,28.328,-1750.893809561,-1761.0287074201,-1770.512250937,-1638.5847587771
